IPO name,Offer date,SIC,Ticker,Unit,Offer price
Register.com Inc,20000302,7379,RCOM,1,24
Switchboard Inc,20000302,7372,SWBD,1,15
Versata Inc,20000303,7372,VATA,1,24
iprint.com Inc,20000307,7375,IPRT,1,10
HomeGrocer.com,20000309,7375,HOMG,1,12
Riverdeep Interactive Learning,20000309,7372,RVDP,1,20
Selectica Inc,20000309,7372,SLTC,1,30
OTG Software Inc,20000310,7372,OTGS,1,19
Digitas Inc,20000313,8742,DTAS,1,24
FairMarket Inc,20000313,7389,FAIM,1,17
Lastminute.com,20000314,4724,LMIN,1,30.02
ImproveNet Inc,20000315,1521,IMPV,1,16
Loudeye Technologies Inc,20000315,7371,LOUD,1,16
Universal Access Inc,20000316,4813,UAXS,1,14
Integrated Information Systems,20000317,7379,IISX,1,15
Netpliance Inc,20000317,7377,NPLI,1,18
Snowball.com Inc,20000320,7375,SNOW,1,11
Caldera Systems Inc,20000321,7372,CALD,1,14
Blaze Software Inc,20000322,7372,BLZE,1,16
Partsbase.com Inc,20000322,7375,PRTS,1,13
ETINUUM INC,20000324,7389,ETIN,1,12
ARTISTdirect Inc,20000327,7375,ARTD,1,12
Websense Inc,20000327,7373,WBSN,1,18
Telocity Delaware Inc,20000328,7375,TLCT,1,12
Hanaro Telecom,20000329,4813,HANA,1,15.51
ArrowPoint Communications Inc,20000330,3577,ARPT,1,34
Valueclick Inc,20000330,7319,VCLK,1,19
GoAmerica Inc,20000406,4812,GOAM,1,16
LivePerson Inc,20000406,7379,LPSN,1,8
Saba Software Inc,20000406,7372,SABA,1,15
Opus360 Corp,20000407,7389,OPUS,1,10
Asiacontent.com Ltd,20000411,7374,IASIA,1,14
HealthStream Inc,20000411,8299,HSTM,1,9
Corillian Corp,20000412,7379,CORI,1,8
Sina.com,20000412,7375,SINA,1,17
QS Communications AG,20000418,7375,QSCG,1,24.64
PEC Solutions Inc,20000419,7379,PECS,1,9.5
Software Technologies Corp,20000427,7372,STCS,1,12
WHEREVER.net Holdings Corp,20000502,4813,WNET,1,9
Sequoia Software Corp,20000512,7372,SQSW,1,8
iBeam Broadcasting Corp,20000517,4841,IBEM,1,10
coolsavings.com inc,20000519,7379,CSAV,1,7
Centillium Communications Inc,20000523,3661,CTLM,1,19
Sonus Networks Inc,20000524,7372,SONS,1,23
ONI Systems Corp,20000531,3661,ONIS,1,25
CrossWorlds Software Inc,20000601,7372,CWLD,1,10
Exult Inc,20000602,8742,EXLT,1,10
Take To Auction.com Inc,20000612,7389,TTA,1,8
Rediff.com India Ltd,20000613,7375,REDF,1,12
Echapman.com Inc,20000615,7375,ECMN,1,13
Accelerated Networks Inc,20000622,3661,ACCL,1,15
Click Commerce Inc,20000626,7371,CKCM,1,10
BusyBox.com Inc,20000627,3861,BUSY,1,5
Genuity Inc,20000627,7371,GENU,1,11
CareScience Inc,20000628,7374,CARE,1,12
Virage Inc,20000628,7372,VRGE,1,11
Storagenetworks Inc,20000629,7389,STOR,1,27
Netease.com Inc,20000630,7375,NTES,1,15.5
Divine Interventures Inc,20000711,7389,DVIN,1,9
Sohu.com Inc,20000712,7379,SOHU,1,13
Sunrise Telecom Inc,20000712,3825,SRTI,1,15
Triton Network Systems Inc,20000712,3663,TNSI,1,15
I Many Inc,20000713,7389,IMNY,1,9
Network Engines Inc,20000713,3572,NENG,1,17
Support.com Inc,20000718,7389,SPRT,1,14
Talarian Corp,20000720,7372,TALR,1,16
Blue Martini Software Inc,20000724,7372,BLUE,1,20
Evoke Communications Inc,20000724,7375,EVOK,1,8
Interland Inc,20000725,7389,ILND,1,12
Corvis Corp,20000727,3661,CORV,1,36
Lexent Inc,20000727,7385,LXNT,1,15
Mainspring Inc,20000727,7389,MSPR,1,12
ValiCert Inc,20000727,7375,VLCT,1,10
Webex Communications Inc,20000727,7379,WEBX,1,14
Convergent Group Corp,20000731,7371,CVGP,1,7
Floware Wireless Systems Ltd,20000801,4813,FLRE,1,13
Resonate Inc,20000802,7372,RSNT,1,21
