DATE,NASDAQCOM
8/13/01,1982.25
8/14/01,1964.53
8/15/01,1918.89
8/16/01,1930.32
8/17/01,1867.01
8/20/01,1881.35
8/21/01,1831.3
8/22/01,1860.01
8/23/01,1842.97
8/24/01,1916.8
8/27/01,1912.41
8/28/01,1864.98
8/29/01,1843.17
8/30/01,1791.68
8/31/01,1805.43
9/3/01,.
9/4/01,1770.78
9/5/01,1759.01
9/6/01,1705.64
9/7/01,1687.7
9/10/01,1695.38
9/11/01,.
9/12/01,.
9/13/01,.
9/14/01,.
9/17/01,1579.55
9/18/01,1555.08
9/19/01,1527.8
9/20/01,1470.93
9/21/01,1423.19
9/24/01,1499.4
9/25/01,1501.64
9/26/01,1464.04
9/27/01,1460.71
9/28/01,1498.8
10/1/01,1480.46
10/2/01,1492.33
10/3/01,1580.81
10/4/01,1597.31
10/5/01,1605.3
10/8/01,1605.95
10/9/01,1570.19
10/10/01,1626.26
10/11/01,1701.47
10/12/01,1703.4
10/15/01,1696.31
10/16/01,1722.07
10/17/01,1646.34
10/18/01,1652.72
10/19/01,1671.31
10/22/01,1708.08
10/23/01,1704.44
10/24/01,1731.54
10/25/01,1775.47
10/26/01,1768.96
10/29/01,1699.52
10/30/01,1667.41
10/31/01,1690.2
11/1/01,1746.3
11/2/01,1745.73
11/5/01,1793.65
11/6/01,1835.08
11/7/01,1837.53
11/8/01,1827.77
11/9/01,1828.48
11/12/01,1840.13
11/13/01,1892.11
11/14/01,1903.19
11/15/01,1900.57
11/16/01,1898.58
11/19/01,1934.42
11/20/01,1880.51
11/21/01,1875.05
11/22/01,.
11/23/01,1903.2
11/26/01,1941.23
11/27/01,1935.97
11/28/01,1887.97
